trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.6, 'e': 0.19789869908361465}",25,14,7.608075381049481,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.19592957412690934}",25,20,8.747801593652088,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19398004229089189}",20,13,13.899195259303792,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.19204990862075408}",25,16,12.330052525182193,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.1901389801015205}",20,0,7.0430074525098245,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.6, 'e': 0.1882470656387468}",20,13,8.84791661455855,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.18637397603940997}",20,13,12.525483993154344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.18451952399298926}",25,8,29.3148498285239,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18268352405273466}",20,8,7.047734104779634,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.1808657926171221}",20,10,19.09070579223073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.6, 'e': 0.17906614791149322}",35,21,4.637608651237428,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.6, 'e': 0.17728440996987782}",20,12,-6.028652444528103,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.17552040061699686}",20,5,23.54471044567299,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.17377394345044514}",25,0,14.821199513339808,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
176,False,"{'a': 0.6, 'e': 0.17204486382305054}",25,17,2.8844174340033435,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.17033298882540943}",20,11,18.46690028667567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.1686381472685955}",20,12,13.813993050843719,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.1669601696670407}",25,3,27.402202246829013,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.16529888822158653}",25,0,12.269651886608509,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
181,False,"{'a': 0.6, 'e': 0.16365413680270405}",30,16,7.90871027676083,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.16202575093388075}",35,18,-0.03747323619392651,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.16041356777517274}",20,6,-36.98847072031007,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
184,False,"{'a': 0.6, 'e': 0.15881742610692068}",25,16,17.146192409794534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.6, 'e': 0.1572371663136276}",25,13,17.789523258052224,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
